一级分类,二级分类,品名,最低价,最高价,平均价,单位,产地,规格,日期
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-17
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-17
肉禽蛋,禽蛋类,仔鸡,7.0,7.0,7.0,斤,,净膛,2026-09-17
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡翅,12.0,12.0,12.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-17
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-17
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-17
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-17
肉禽蛋,禽蛋类,白条鹅,10.0,10.0,10.0,斤,,净膛,2026-09-17
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-17
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-17
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-17
肉禽蛋,禽蛋类,白条兔,13.0,15.0,14.0,斤,,冻,2026-09-17
肉禽蛋,禽蛋类,筐鸡蛋,247.0,252.0,249.5,筐,,净44斤,2026-09-17
肉禽蛋,禽蛋类,筐鸡蛋,5.61,5.73,5.67,斤,,,2026-09-17
肉禽蛋,禽蛋类,箱鸡蛋,262.0,267.0,264.5,箱,,带蛋托净42斤,2026-09-17
肉禽蛋,禽蛋类,散鸡蛋,6.2,6.5,6.35,斤,,,2026-09-17
肉禽蛋,禽蛋类,生鸭蛋,6.2,7.0,6.6,斤,,,2026-09-17
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-17
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-17
肉禽蛋,禽蛋类,鹅蛋,15.0,16.0,15.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-17
肉禽蛋,禽蛋类,柴鸡蛋,5.73,9.0,7.37,斤,,,2026-09-17
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-17
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-17
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,65.0,65.0,个,,,2026-09-17
肉禽蛋,禽蛋类,鸽子蛋,3.0,3.0,3.0,个,,,2026-09-17
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-17
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-17
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-16
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-16
肉禽蛋,禽蛋类,仔鸡,7.0,7.0,7.0,斤,,净膛,2026-09-16
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡翅,12.0,12.0,12.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-16
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-16
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-16
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-16
肉禽蛋,禽蛋类,白条鹅,10.0,11.0,10.5,斤,,净膛,2026-09-16
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-16
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-16
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-16
肉禽蛋,禽蛋类,白条兔,13.5,15.0,14.25,斤,,冻,2026-09-16
肉禽蛋,禽蛋类,筐鸡蛋,247.0,252.0,249.5,筐,,净44斤,2026-09-16
肉禽蛋,禽蛋类,筐鸡蛋,5.61,5.73,5.67,斤,,,2026-09-16
肉禽蛋,禽蛋类,箱鸡蛋,262.0,267.0,264.5,箱,,带蛋托净42斤,2026-09-16
肉禽蛋,禽蛋类,散鸡蛋,6.2,6.5,6.35,斤,,,2026-09-16
肉禽蛋,禽蛋类,生鸭蛋,6.3,7.0,6.65,斤,,,2026-09-16
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-16
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-16
肉禽蛋,禽蛋类,鹅蛋,15.0,16.0,15.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-16
肉禽蛋,禽蛋类,柴鸡蛋,5.73,9.0,7.37,斤,,,2026-09-16
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-16
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-16
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,70.0,67.5,个,,,2026-09-16
肉禽蛋,禽蛋类,鸽子蛋,3.0,3.0,3.0,个,,,2026-09-16
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-16
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-16
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-15
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-15
肉禽蛋,禽蛋类,仔鸡,7.0,7.0,7.0,斤,,净膛,2026-09-15
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡翅,12.0,12.0,12.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-15
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-15
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-15
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-15
肉禽蛋,禽蛋类,白条鹅,10.0,11.0,10.5,斤,,净膛,2026-09-15
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-15
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-15
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-15
肉禽蛋,禽蛋类,白条兔,13.5,15.0,14.25,斤,,冻,2026-09-15
肉禽蛋,禽蛋类,筐鸡蛋,242.0,247.0,244.5,筐,,净44斤,2026-09-15
肉禽蛋,禽蛋类,筐鸡蛋,5.5,5.61,5.56,斤,,,2026-09-15
肉禽蛋,禽蛋类,箱鸡蛋,257.0,262.0,259.5,箱,,带蛋托净42斤,2026-09-15
肉禽蛋,禽蛋类,散鸡蛋,6.0,6.2,6.1,斤,,,2026-09-15
肉禽蛋,禽蛋类,生鸭蛋,6.3,7.0,6.65,斤,,,2026-09-15
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-15
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-15
肉禽蛋,禽蛋类,鹅蛋,15.0,16.0,15.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-15
肉禽蛋,禽蛋类,柴鸡蛋,5.61,9.0,7.31,斤,,,2026-09-15
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-15
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-15
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,70.0,67.5,个,,,2026-09-15
肉禽蛋,禽蛋类,鸽子蛋,3.0,3.0,3.0,个,,,2026-09-15
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-15
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-15
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-14
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-14
肉禽蛋,禽蛋类,仔鸡,7.0,7.0,7.0,斤,,净膛,2026-09-14
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡翅,12.0,12.0,12.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-14
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-14
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-14
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-14
肉禽蛋,禽蛋类,白条鹅,10.0,11.0,10.5,斤,,净膛,2026-09-14
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-14
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-14
肉禽蛋,禽蛋类,白条兔,13.5,15.0,14.25,斤,,冻,2026-09-14
肉禽蛋,禽蛋类,筐鸡蛋,235.0,240.0,237.5,筐,,净44斤,2026-09-14
肉禽蛋,禽蛋类,筐鸡蛋,5.34,5.45,5.4,斤,,,2026-09-14
肉禽蛋,禽蛋类,箱鸡蛋,250.0,255.0,252.5,箱,,带蛋托净42斤,2026-09-14
肉禽蛋,禽蛋类,散鸡蛋,6.0,6.0,6.0,斤,,,2026-09-14
肉禽蛋,禽蛋类,生鸭蛋,6.3,7.0,6.65,斤,,,2026-09-14
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-14
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-14
肉禽蛋,禽蛋类,鹅蛋,15.5,16.0,15.75,斤,,,2026-09-14
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-14
肉禽蛋,禽蛋类,柴鸡蛋,5.45,9.0,7.23,斤,,,2026-09-14
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-14
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-14
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,70.0,67.5,个,,,2026-09-14
肉禽蛋,禽蛋类,鸽子蛋,3.0,3.0,3.0,个,,,2026-09-14
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-14
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-14
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-13
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-13
肉禽蛋,禽蛋类,仔鸡,6.5,6.5,6.5,斤,,净膛,2026-09-13
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡翅,11.0,12.0,11.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-13
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-13
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-13
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-13
肉禽蛋,禽蛋类,白条鹅,10.0,11.0,10.5,斤,,净膛,2026-09-13
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-13
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-13
肉禽蛋,禽蛋类,白条兔,13.5,15.0,14.25,斤,,冻,2026-09-13
肉禽蛋,禽蛋类,筐鸡蛋,235.0,240.0,237.5,筐,,净44斤,2026-09-13
肉禽蛋,禽蛋类,筐鸡蛋,5.34,5.45,5.4,斤,,,2026-09-13
肉禽蛋,禽蛋类,箱鸡蛋,250.0,255.0,252.5,箱,,带蛋托净42斤,2026-09-13
肉禽蛋,禽蛋类,散鸡蛋,6.0,6.0,6.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,生鸭蛋,6.3,7.0,6.65,斤,,,2026-09-13
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-13
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-13
肉禽蛋,禽蛋类,鹅蛋,15.5,16.5,16.0,斤,,,2026-09-13
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-13
肉禽蛋,禽蛋类,柴鸡蛋,5.45,9.0,7.23,斤,,,2026-09-13
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-13
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-13
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,70.0,67.5,个,,,2026-09-13
肉禽蛋,禽蛋类,鸽子蛋,2.8,3.2,3.0,个,,,2026-09-13
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-13
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-13
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-12
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-12
肉禽蛋,禽蛋类,仔鸡,6.5,6.5,6.5,斤,,净膛,2026-09-12
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡胸,6.5,7.0,6.75,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡翅,11.0,12.0,11.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡翅尖,7.0,7.5,7.25,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡翅中,24.0,24.0,24.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡翅根,6.5,7.0,6.75,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡边腿,5.8,6.0,5.9,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡排腿,6.5,6.5,6.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡琵琶腿,6.5,6.5,6.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡胗,11.0,13.0,12.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡爪,17.0,17.0,17.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡心,5.0,5.0,5.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡脖子,5.0,5.0,5.0,斤,,去皮,2026-09-12
肉禽蛋,禽蛋类,鸡头,2.5,3.0,2.75,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡油,5.0,5.0,5.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸡架子,3.0,3.5,3.25,斤,,,2026-09-12
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,,净膛,2026-09-12
肉禽蛋,禽蛋类,黑爪公鸡,10.0,11.0,10.5,斤,,净膛,2026-09-12
肉禽蛋,禽蛋类,白条鹅,10.0,11.0,10.5,斤,,净膛,2026-09-12
肉禽蛋,禽蛋类,白条湖鸭,6.8,7.0,6.9,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭肠,6.5,7.5,7.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭肝,2.5,3.0,2.75,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭头,12.0,13.0,12.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭心,5.0,5.0,5.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭腿,4.5,5.0,4.75,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭胗,12.0,14.0,13.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鸭脖子,7.0,7.5,7.25,斤,,去皮,2026-09-12
肉禽蛋,禽蛋类,白条乳鸽,20.0,23.0,21.5,只,,,2026-09-12
肉禽蛋,禽蛋类,白条兔,13.5,15.0,14.25,斤,,冻,2026-09-12
肉禽蛋,禽蛋类,筐鸡蛋,235.0,240.0,237.5,筐,,净44斤,2026-09-12
肉禽蛋,禽蛋类,筐鸡蛋,5.34,5.45,5.4,斤,,,2026-09-12
肉禽蛋,禽蛋类,箱鸡蛋,250.0,255.0,252.5,箱,,带蛋托净42斤,2026-09-12
肉禽蛋,禽蛋类,散鸡蛋,6.0,6.0,6.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,生鸭蛋,6.3,7.0,6.65,斤,,,2026-09-12
肉禽蛋,禽蛋类,熟鸭蛋,7.6,8.5,8.05,斤,,,2026-09-12
肉禽蛋,禽蛋类,松花蛋,7.3,8.5,7.9,斤,,,2026-09-12
肉禽蛋,禽蛋类,鹅蛋,15.5,16.5,16.0,斤,,,2026-09-12
肉禽蛋,禽蛋类,鹌鹑蛋,5.5,7.0,6.25,斤,,,2026-09-12
肉禽蛋,禽蛋类,柴鸡蛋,5.45,9.0,7.23,斤,,,2026-09-12
肉禽蛋,禽蛋类,乌鸡蛋,8.0,9.0,8.5,斤,,,2026-09-12
肉禽蛋,禽蛋类,变蛋,0.75,1.0,0.88,个,,,2026-09-12
肉禽蛋,禽蛋类,鸵鸟蛋,65.0,70.0,67.5,个,,,2026-09-12
肉禽蛋,禽蛋类,鸽子蛋,2.8,3.2,3.0,个,,,2026-09-12
肉禽蛋,禽蛋类,活珠子,1.3,1.5,1.4,个,,,2026-09-12
肉禽蛋,禽蛋类,山鸡蛋,1.0,1.0,1.0,个,,,2026-09-12
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,,干净膛,2026-09-11
肉禽蛋,禽蛋类,淘汰鸡,9.5,10.0,9.75,斤,,净膛,2026-09-11
肉禽蛋,禽蛋类,仔鸡,6.5,6.5,6.5,斤,,净膛,2026-09-11
肉禽蛋,禽蛋类,肉鸡,6.5,6.5,6.5,斤,,,2026-09-11
